date,open,high,low,close,adjusted_close,volume
2024-01-16,153.53,154.99,152.15,153.16,153.16,41384641
2024-01-17,151.49,152.15,149.91,151.71,151.71,34953359
2024-01-18,152.77,153.775,151.82,153.5,153.5,37850246
2024-01-19,153.83,155.76,152.74,155.34,155.34,51651633
2024-01-22,156.89,157.05,153.9,154.78,154.78,43687473
2024-01-23,154.85,156.21,153.93,156.02,156.02,37986039
2024-01-24,157.8,158.51,156.48,156.87,156.87,48547320
2024-01-25,156.95,158.505,154.5501,157.75,157.75,43638594
2024-01-26,158.42,160.72,157.91,159.12,159.12,51047352
2024-01-29,159.34,161.29,158.9,161.26,161.26,45270391
2024-01-30,160.7,161.73,158.49,159.0,159.0,45207434
2024-01-31,157.0,159.01,154.81,155.2,155.2,50284367
2024-02-01,155.87,159.76,155.62,159.28,159.28,76542414
2024-02-02,169.19,172.5,167.33,171.81,171.81,117218305
2024-02-05,170.2,170.55,167.7,170.31,170.31,55081301
2024-02-06,169.39,170.71,167.65,169.15,169.15,42505520
2024-02-07,169.48,170.88,168.94,170.53,170.53,47174059
2024-02-08,169.65,171.43,168.88,169.84,169.84,42316449
2024-02-09,170.9,175.0,170.5803,174.45,174.45,56985992
2024-02-12,174.8,175.39,171.54,172.34,172.34,51050441
2024-02-13,167.73,170.95,165.75,168.64,168.64,56345121
2024-02-14,169.21,171.21,168.28,170.98,170.98,42815539
2024-02-15,170.58,171.17,167.59,169.8,169.8,49855199
2024-02-16,168.74,170.42,167.17,169.51,169.51,48107738
2024-02-20,167.83,168.71,165.74,167.08,167.08,41980328
2024-02-21,168.94,170.23,167.14,168.59,168.59,44575621
2024-02-22,173.1,174.8,171.77,174.58,174.58,55392352
2024-02-23,174.28,175.75,173.7,174.99,174.99,59715238
2024-02-26,175.7,176.37,174.26,174.73,174.73,44368609
2024-02-27,174.075,174.62,172.86,173.54,173.54,31141730
2024-02-28,172.44,174.05,172.27,173.16,173.16,28180480
2024-02-29,173.01,177.22,172.85,176.76,176.76,53805359
2024-03-01,176.75,178.725,176.07,178.22,178.22,31981150
2024-03-04,177.53,180.14,177.49,177.58,177.58,37381520
2024-03-05,176.93,176.93,173.303,174.12,174.12,37228340
2024-03-06,175.54,176.46,173.26,173.51,173.51,32090930
2024-03-07,174.83,177.99,173.72,176.82,176.82,34063281
2024-03-08,176.44,178.785,174.33,175.35,175.35,37893238
2024-03-11,174.31,174.47,171.47,171.96,171.96,28484779
2024-03-12,173.5,176.76,171.98,175.39,175.39,36610602
2024-03-13,175.9,177.62,175.55,176.555,176.555,30772600
2024-03-14,177.69,179.53,176.465,178.75,178.75,43705840
2024-03-15,176.64,177.93,173.9,174.42,174.42,72147391
2024-03-18,175.8,176.69,174.28,174.48,174.48,31250689
2024-03-19,174.215,176.09,173.52,175.9,175.9,26880891
2024-03-20,176.14,178.53,174.64,178.15,178.15,29947150
2024-03-21,179.988,181.415,178.15,178.15,178.15,32824320
2024-03-22,177.752,179.255,176.75,178.87,178.87,27995381
2024-03-25,178.01,180.99,177.24,179.71,179.71,29815461
2024-03-26,180.15,180.45,177.95,178.3,178.3,29658980
2024-03-27,179.88,180.0,177.3099,179.83,179.83,33272551
2024-03-28,180.17,181.7,179.26,180.38,180.38,38051594
2024-04-01,180.79,183.0,179.95,180.97,180.97,29174520
2024-04-02,179.07,180.79,178.3762,180.69,180.69,32611551
2024-04-03,179.9,182.87,179.8,182.41,182.41,31046641
2024-04-04,184.0,185.1,180.0,180.0,180.0,41624262
2024-04-05,182.38,186.27,181.97,185.07,185.07,42373992
2024-04-08,186.9,187.29,184.81,185.19,185.19,39221281
2024-04-09,187.24,187.34,184.2,185.67,185.67,36546953
2024-04-10,182.765,186.2699,182.67,185.95,185.95,35879152
2024-04-11,186.74,189.77,185.51,189.05,189.05,40020738
2024-04-12,187.72,188.38,185.08,186.13,186.13,38608848
2024-04-15,187.425,188.69,183.0,183.62,183.62,48052398
2024-04-16,183.27,184.83,182.26,183.32,183.32,32891270
2024-04-17,184.31,184.57,179.82,181.28,181.28,31359670
2024-04-18,181.47,182.39,178.65,179.22,179.22,30723789
2024-04-19,178.74,179.0,173.44,174.63,174.63,56000727
2024-04-22,176.94,178.87,174.56,177.23,177.23,37924887
2024-04-23,178.08,179.93,175.975,179.54,179.54,37046520
2024-04-24,179.94,180.323,176.18,176.59,176.59,34185113
2024-04-25,169.68,173.92,166.32,173.67,173.67,49249391
2024-04-26,177.795,180.82,176.13,179.62,179.62,43919770
2024-04-29,182.75,183.53,179.39,180.96,180.96,54063941
2024-04-30,181.09,182.99,174.8,175.0,175.0,94639789
2024-05-01,181.635,185.15,176.56,179.0,179.0,94645148
2024-05-02,180.85,185.1,179.91,184.72,184.72,54303512
2024-05-03,186.99,187.87,185.42,186.21,186.21,39172000
2024-05-06,186.28,188.745,184.8,188.7,188.7,34725301
2024-05-07,188.92,189.94,187.305,188.76,188.76,34048898
2024-05-08,187.44,188.43,186.385,188.0,188.0,26136350
2024-05-09,188.88,191.7,187.44,189.5,189.5,43368379
2024-05-10,189.16,189.892,186.93,187.48,187.48,34141770
2024-05-13,188.0,188.31,185.36,186.57,186.57,24898609
2024-05-14,183.82,187.72,183.45,187.07,187.07,38698160
2024-05-15,185.97,186.7193,182.73,185.99,185.99,75459930
2024-05-16,185.6,187.31,183.46,183.63,183.63,38834449
2024-05-17,183.76,185.3,183.35,184.7,184.7,33175660
2024-05-20,184.34,186.665,183.28,183.54,183.54,30511770
2024-05-21,182.3,183.26,180.75,183.15,183.15,50839129
2024-05-22,183.88,185.22,181.9715,183.13,183.13,28148779
2024-05-23,183.66,184.76,180.08,181.05,181.05,33670168
2024-05-24,181.65,182.435,180.3,180.75,180.75,27471641
2024-05-28,179.93,182.24,179.49,182.15,182.15,29926961
2024-05-29,181.7,184.08,181.55,182.02,182.02,32009289
2024-05-30,181.31,181.34,178.355,179.32,179.32,29249230
2024-05-31,178.3,179.21,173.87,176.44,176.44,58903941
2024-06-03,177.7,178.7,175.92,178.34,178.34,30786641
2024-06-04,177.64,179.82,176.44,179.34,179.34,27198391
2024-06-05,180.1,181.5,178.75,181.28,181.28,32116391
2024-06-06,181.745,185.0,181.49,185.0,185.0,31371150
2024-06-07,184.9,186.2888,183.36,184.3,184.3,28021471
2024-06-10,184.07,187.23,183.79,187.06,187.06,34494500
2024-06-11,187.06,187.77,184.5373,187.23,187.23,27265109
2024-06-12,188.015,188.35,185.43,186.89,186.89,33984219
2024-06-13,186.09,187.67,182.666,183.83,183.83,39721551
